University,Program,Co-op(TrueorFalse),Pr1,Pr2,Pr3,Pr4,Pr5,Minaverage,Maxaverage,Extracurrciulars,Budget,Residence(TrueorFalse),X-Coordinate,Y-Coordinate,Competitiveness,Link
UniversityofToronto,ChemicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,70,100,TRUE,14180.00,TRUE,79.4,44,10,https://discover.engineering.utoronto.ca/programs/engineering-programs/chemical-engineering/,
UniversityofToronto,CivilEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,70,100,TRUE,14180.00,TRUE,79,44,10,https://discover.engineering.utoronto.ca/programs/engineering-programs/civil-engineering/,
UniversityofToronto,ComputerEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,70,100,TRUE,14180.00,TRUE,79,44,10,https://discover.engineering.utoronto.ca/programs/engineering-programs/electrical-computer-engineering/,
UniversityofToronto,ElectricalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,70,100,TRUE,14180.00,TRUE,79,44,10,https://discover.engineering.utoronto.ca/programs/engineering-programs/electrical-computer-engineering/,
UniversityofToronto,EngineeringScience,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,70,100,TRUE,14180.00,TRUE,79,44,10,https://discover.engineering.utoronto.ca/programs/engineering-programs/engineering-science/,
UniversityofToronto,IndustrialEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,70,100,TRUE,14180.00,TRUE,79,44,10,https://discover.engineering.utoronto.ca/programs/engineering-programs/industrial-engineering/,
UniversityofToronto,MaterialsEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,70,100,TRUE,14180.00,TRUE,79,44,10,https://discover.engineering.utoronto.ca/programs/engineering-programs/materials-engineering/,
UniversityofToronto,MechanicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,70,100,TRUE,14180.00,TRUE,79,44,10,https://discover.engineering.utoronto.ca/programs/engineering-programs/mechanical-engineering/,
WesternUniversity,ChemicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,85,90,FALSE,14000.00,TRUE,81.2737,43.0096,7,https://www.eng.uwo.ca/undergraduate/programs/chemical.html,
WesternUniversity,CivilEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,85,90,FALSE,14000.00,TRUE,81.2737,43.0096,7,https://www.eng.uwo.ca/undergraduate/programs/civil.html,
WesternUniversity,ElectricalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,85,90,FALSE,14000.00,TRUE,81.2737,43.0096,7,https://www.eng.uwo.ca/undergraduate/programs/electrical.html,
WesternUniversity,MechanicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,85,90,FALSE,14000.00,TRUE,81.2737,43.0096,7,https://www.eng.uwo.ca/undergraduate/programs/mechanical.html,
WesternUniversity,MechatronicsSystemsEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,85,90,FALSE,14000.00,TRUE,81.2737,43.0096,7,https://www.eng.uwo.ca/undergraduate/programs/mechatronic.html,
WesternUniversity,SoftwareEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,85,90,FALSE,14000.00,TRUE,81.2737,43.0096,7,https://www.eng.uwo.ca/undergraduate/programs/software.html,
UniversityofOttawa,BiomedicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,85,90,FALSE,10500.00,TRUE,75.6831,45.4231,4,https://engineering.uottawa.ca/undergraduate-programs/biomedical-mechanical-engineering,
UniversityofOttawa,ChemicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,85,90,FALSE,10500.00,TRUE,75.6831,45.4231,4,https://engineering.uottawa.ca/undergraduate-programs/chemical-engineering,
UniversityofOttawa,CivilEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,80,85,FALSE,10500.00,TRUE,75.6831,45.4231,4,https://engineering.uottawa.ca/undergraduate-programs/civil-engineering,
UniversityofOttawa,ComputerEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,85,90,FALSE,10500.00,TRUE,75.6831,45.4231,4,https://engineering.uottawa.ca/undergraduate-programs/computer-engineering,
UniversityofOttawa,ElectricalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,80,85,FALSE,10500.00,TRUE,75.6831,45.4231,4,https://engineering.uottawa.ca/undergraduate-programs/electrical-engineering,
UniversityofOttawa,MechanicalEngineering,TRUE,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,80,85,FALSE,10500.00,TRUE,75.6831,45.4231,4,https://engineering.uottawa.ca/undergraduate-programs/mechanical-engineering,
